frame,input.bActivateBoost,input.bHoldingBoost,input.Throttle,input.Pitch,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z,ball.Location.X,ball.Location.Y,ball.Location.Z,ball.LinearVelocity.X,ball.LinearVelocity.Y,ball.LinearVelocity.Z,ball.Quaternion.X,ball.Quaternion.Y,ball.Quaternion.Z,ball.Quaternion.W,ball.AngularVelocity.X,ball.AngularVelocity.Y,ball.AngularVelocity.Z
18,False,False,1.000000,0.100000,0.000000,3.010000,896.380005,0.000000,-0.020000,-4.020000,-0.505438,0.505459,-0.494481,-0.494502,0.196100,0.000000,0.000000,0.000000,-2.370000,1081.819946,0.000000,-18.340000,159.869995,-0.001659,0.000003,0.000003,0.999999,-0.022300,0.000000,0.000000
19,False,False,1.000000,0.100000,0.000000,3.010000,896.309998,0.000000,-0.030000,-8.880000,-0.505858,0.505882,-0.494049,-0.494071,0.203600,0.000000,0.000000,0.000000,-2.520000,1083.109985,0.000000,-18.330000,154.410004,-0.001751,0.000003,0.000003,0.999998,-0.022300,0.000000,0.000000
20,False,False,1.000000,0.100000,0.000000,3.010000,896.199951,0.000000,-0.040000,-13.740000,-0.506290,0.506314,-0.493607,-0.493628,0.210900,0.000000,0.000000,0.000000,-2.670000,1084.349976,0.000000,-18.320000,148.949997,-0.001842,0.000003,0.000003,0.999998,-0.022300,0.000000,0.000000
21,False,False,1.000000,0.100000,0.000000,3.010000,896.039978,0.000000,-0.050000,-18.600000,-0.506738,0.506759,-0.493148,-0.493170,0.218100,0.000000,0.000000,0.000000,-2.820000,1085.549927,0.000000,-18.309999,143.489990,-0.001934,0.000003,0.000003,0.999998,-0.022300,0.000000,0.000000
22,True,True,1.000000,0.200000,0.000000,3.010000,895.909973,0.000000,-0.280000,-15.200000,-0.507223,0.507249,-0.492647,-0.492668,0.236400,0.000000,0.000000,0.000000,-2.970000,1086.699951,0.000000,-18.299999,138.029999,-0.002026,0.000003,0.000003,0.999998,-0.022300,0.000000,0.000000
23,True,True,1.000000,0.200000,0.000000,3.010000,895.809998,0.000000,-0.530000,-11.800000,-0.507747,0.507773,-0.492107,-0.492129,0.254400,0.000000,0.000000,0.000000,-3.120000,1087.799927,0.000000,-18.289999,132.569992,-0.002117,0.000003,0.000003,0.999998,-0.022300,0.000000,0.000000
24,True,True,1.000000,0.200000,0.000000,3.000000,895.739990,0.000000,-0.800000,-8.400000,-0.508302,0.508335,-0.491530,-0.491551,0.272100,0.000000,0.000000,0.000000,-3.270000,1088.859985,0.000000,-18.279999,127.110001,-0.002209,0.000003,0.000003,0.999997,-0.022300,0.000000,0.000000
25,True,True,1.000000,0.200000,0.000000,2.990000,895.699951,0.000000,-1.090000,-5.000000,-0.508896,0.508929,-0.490915,-0.490936,0.289400,0.000000,0.000000,0.000000,-3.420000,1089.869995,0.000000,-18.270000,121.659996,-0.002301,0.000003,0.000003,0.999997,-0.022300,0.000000,0.000000
26,True,True,1.000000,0.200000,0.000000,2.980000,895.690002,0.000000,-1.400000,-1.600000,-0.509522,0.509561,-0.490262,-0.490284,0.306400,0.000000,0.000000,0.000000,-3.570000,1090.839966,0.000000,-18.260000,116.209999,-0.002393,0.000003,0.000003,0.999997,-0.022300,0.000000,0.000000
27,True,True,1.000000,0.200000,0.000000,2.970000,895.699951,0.000000,-1.730000,1.790000,-0.510180,0.510220,-0.489577,-0.489599,0.323100,0.000000,0.000000,0.000000,-3.720000,1091.760010,0.000000,-18.250000,110.759995,-0.002484,0.000003,0.000003,0.999997,-0.022300,0.000000,0.000000
