frame,ball.Location.X,ball.Location.Y,ball.Location.Z,ball.LinearVelocity.X,ball.LinearVelocity.Y,ball.LinearVelocity.Z,ball.Quaternion.X,ball.Quaternion.Y,ball.Quaternion.Z,ball.Quaternion.W,ball.AngularVelocity.X,ball.AngularVelocity.Y,ball.AngularVelocity.Z
0,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
1,408.329987,4538.339844,150.000000,999.739990,-1399.640015,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
2,416.660004,4526.679688,150.000000,999.479980,-1399.280029,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
3,424.989990,4515.020020,150.000000,999.219971,-1398.919922,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
4,433.309998,4503.370117,150.000000,998.959961,-1398.559937,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
5,441.630005,4491.719727,150.000000,998.699951,-1398.199951,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
6,449.949982,4480.069824,150.000000,998.440002,-1397.839966,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
7,458.269989,4468.419922,150.000000,998.179993,-1397.479980,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
8,466.589996,4456.779785,150.000000,997.919983,-1397.119995,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
9,474.899994,4445.140137,150.000000,997.659973,-1396.760010,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
10,483.209991,4433.500000,150.000000,997.399963,-1396.400024,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
11,491.519989,4421.870117,150.000000,997.139954,-1396.039917,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
12,499.829987,4410.239746,150.000000,996.880005,-1395.679932,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
13,508.139984,4398.609863,150.000000,996.619995,-1395.319946,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
14,516.440002,4386.989746,150.000000,996.359985,-1394.959961,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
15,524.739990,4375.370117,150.000000,996.099976,-1394.599976,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
16,533.039978,4363.750000,150.000000,995.839966,-1394.239990,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
17,541.339966,4352.129883,150.000000,995.579956,-1393.880005,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
18,549.630005,4340.520020,150.000000,995.320007,-1393.520020,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
19,557.919983,4328.909668,150.000000,995.059998,-1393.159912,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
20,566.209961,4317.299805,150.000000,994.799988,-1392.799927,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
21,574.500000,4305.699707,150.000000,994.539978,-1392.439941,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
22,582.789978,4294.100098,150.000000,994.279968,-1392.079956,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
23,591.070007,4282.500000,150.000000,994.019958,-1391.719971,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
24,599.349976,4270.909668,150.000000,993.759949,-1391.359985,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
25,607.630005,4259.319824,150.000000,993.500000,-1391.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
26,615.909973,4247.729980,150.000000,993.239990,-1390.640015,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
27,624.179993,4236.140137,150.000000,992.979980,-1390.280029,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
28,632.450012,4224.560059,150.000000,992.719971,-1389.919922,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
29,640.719971,4212.979980,150.000000,992.459961,-1389.559937,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
30,648.989990,4201.399902,150.000000,992.199951,-1389.199951,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
31,657.260010,4189.830078,150.000000,991.940002,-1388.839966,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
32,665.519958,4178.259766,150.000000,991.679993,-1388.479980,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
33,673.779968,4166.689941,150.000000,991.419983,-1388.119995,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
34,682.039978,4155.129883,150.000000,991.159973,-1387.760010,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
35,690.299988,4143.569824,150.000000,990.899963,-1387.400024,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
36,698.559998,4132.009766,150.000000,990.639954,-1387.039917,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
37,706.809998,4120.449707,150.000000,990.380005,-1386.679932,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
38,715.059998,4108.899902,150.000000,990.119995,-1386.319946,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
39,723.309998,4097.350098,150.000000,989.859985,-1385.959961,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
40,731.559998,4085.799805,150.000000,989.599976,-1385.599976,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
41,739.799988,4074.260010,150.000000,989.339966,-1385.239990,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
42,748.039978,4062.719971,150.000000,989.079956,-1384.880005,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
43,756.279968,4051.179932,150.000000,988.820007,-1384.520020,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
44,764.519958,4039.649902,150.000000,988.559998,-1384.159912,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
45,772.760010,4028.119873,150.000000,988.299988,-1383.799927,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
46,780.989990,4016.589844,150.000000,988.039978,-1383.439941,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
47,789.219971,4005.059814,150.000000,987.779968,-1383.079956,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
48,797.450012,3993.539795,150.000000,987.519958,-1382.719971,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
