frame,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z,ball.Location.X,ball.Location.Y,ball.Location.Z,ball.LinearVelocity.X,ball.LinearVelocity.Y,ball.LinearVelocity.Z,ball.Quaternion.X,ball.Quaternion.Y,ball.Quaternion.Z,ball.Quaternion.W,ball.AngularVelocity.X,ball.AngularVelocity.Y,ball.AngularVelocity.Z
21,-70.500000,-57.049999,172.379990,476.359985,186.419998,-1204.929932,-0.242570,0.593433,0.252383,0.724776,1.939000,-0.369800,1.496800,54.139999,36.630001,108.430000,2221.149902,1560.939941,624.599976,0.111330,-0.149191,0.011634,0.982452,3.556400,-4.821900,0.316800
22,-66.529999,-55.500000,162.339996,476.359985,186.419998,-1204.919922,-0.240746,0.588879,0.261085,0.726014,1.904200,-0.351800,1.444500,72.639999,49.629997,113.629997,2220.579834,1560.539917,624.440002,0.125815,-0.168909,0.012956,0.977483,3.556400,-4.821900,0.316800
23,-62.559998,-53.949997,152.300003,476.359985,186.419998,-1204.909912,-0.238864,0.584407,0.269544,0.727158,1.869900,-0.334100,1.394400,91.139999,62.629997,118.829994,2220.010010,1560.140015,624.279968,0.140219,-0.188519,0.014267,0.971903,3.556400,-4.821900,0.316800
24,-58.590000,-52.399998,142.259995,476.359985,186.419998,-1204.900024,-0.236921,0.580021,0.277766,0.728210,1.836100,-0.316600,1.346300,109.639999,75.629997,124.029999,2219.439941,1559.739990,624.119995,0.154537,-0.208011,0.015567,0.965716,3.556400,-4.821900,0.316800
25,-54.619999,-50.849998,132.220001,476.359985,186.419998,-1204.900024,-0.234931,0.575716,0.285761,0.729177,1.802800,-0.299400,1.300200,128.129990,88.619995,129.229996,2218.869873,1559.339966,623.959961,0.168758,-0.227373,0.016861,0.958925,3.556400,-4.821900,0.316800
26,-50.649998,-49.299999,122.180000,476.359985,186.419998,-1204.900024,-0.232892,0.571497,0.293535,0.730061,1.770000,-0.282500,1.255900,146.619995,101.610001,134.429993,2218.300049,1558.939941,623.799988,0.182876,-0.246594,0.018145,0.951535,3.556400,-4.821900,0.316800
27,-46.680000,-47.750000,112.139999,476.359985,186.419998,-1204.900024,-0.230809,0.567365,0.301093,0.730868,1.737700,-0.265900,1.213500,165.099991,114.599998,139.629990,2217.729980,1558.539917,623.640015,0.196881,-0.265660,0.019413,0.943550,3.556400,-4.821900,0.316800
28,-42.709999,-46.200001,102.099998,476.359985,186.419998,-1204.900024,-0.228689,0.563313,0.308446,0.731601,1.705900,-0.249700,1.172800,183.580002,127.579994,144.830002,2217.159912,1558.140015,623.479980,0.210762,-0.284558,0.020670,0.934975,3.556400,-4.821900,0.316800
29,-38.739998,-44.649998,92.059998,476.359985,186.419998,-1204.900024,-0.226536,0.559348,0.315599,0.732262,1.674500,-0.233800,1.133700,202.050003,140.559998,150.020004,2216.589844,1557.739990,623.320007,0.224508,-0.303278,0.021916,0.925818,3.556400,-4.821900,0.316800
30,-34.770000,-43.099998,82.019997,476.359985,186.419998,-1204.900024,-0.224357,0.555464,0.322559,0.732857,1.643600,-0.218300,1.096200,220.519989,153.539993,155.209991,2216.020020,1557.339966,623.159973,0.238114,-0.321809,0.023146,0.916081,3.556400,-4.821900,0.316800
