frame,input.bJump,input.bJumped,input.bActivateBoost,input.bHoldingBoost,input.Yaw,input.Roll,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
40,False,False,False,False,0.000000,1.000000,0.950000,2.640000,137.830002,2.960000,12.990000,309.079987,-0.503603,0.007394,0.004194,0.863893,-5.499200,0.000000,0.092800
41,False,False,False,False,0.000000,1.000000,0.970000,2.750000,140.360001,2.960000,12.990000,303.660004,-0.523624,0.007291,0.004362,0.851907,-5.499200,0.000000,0.092800
42,False,False,False,False,0.000000,1.000000,0.990000,2.860000,142.849991,2.960000,12.990000,298.239990,-0.543358,0.007183,0.004524,0.839458,-5.499200,0.000000,0.092800
43,False,False,False,False,0.000000,1.000000,1.010000,2.970000,145.289993,2.960000,12.990000,292.820007,-0.562795,0.007075,0.004685,0.826553,-5.499200,0.000000,0.092800
44,False,False,False,False,0.000000,1.000000,1.030000,3.080000,147.690002,2.960000,12.990000,287.399994,-0.581925,0.006962,0.004847,0.813198,-5.499200,0.000000,0.092800
45,False,False,False,False,0.000000,1.000000,1.050000,3.190000,150.039993,2.960000,12.990000,281.979980,-0.600737,0.006843,0.005004,0.799402,-5.499200,0.000000,0.092800
46,False,False,False,False,0.000000,1.000000,1.070000,3.300000,152.339996,2.960000,12.990000,276.559998,-0.619225,0.006719,0.005160,0.785168,-5.499200,0.000000,0.092800
47,False,False,False,False,0.000000,1.000000,1.090000,3.410000,154.599991,2.960000,12.990000,271.139984,-0.637373,0.006595,0.005311,0.770509,-5.499200,0.000000,0.092800
48,False,False,False,False,0.000000,1.000000,1.110000,3.520000,156.809998,2.960000,12.990000,265.720001,-0.655176,0.006466,0.005457,0.755429,-5.499200,0.000000,0.092800
49,False,False,False,False,0.000000,1.000000,1.130000,3.630000,158.979996,2.960000,12.990000,260.299988,-0.672623,0.006331,0.005603,0.739937,-5.499200,0.000000,0.092800
50,False,False,False,False,0.000000,1.000000,1.150000,3.740000,161.099991,2.960000,12.990000,254.879990,-0.689703,0.006196,0.005743,0.724043,-5.499200,0.000000,0.092800
51,False,False,False,False,0.000000,1.000000,1.170000,3.850000,163.179993,2.960000,12.990000,249.459991,-0.706405,0.006056,0.005883,0.707757,-5.499200,0.000000,0.092800
52,False,False,False,False,0.000000,1.000000,1.190000,3.960000,165.209991,2.960000,12.990000,244.039993,0.722725,-0.005915,-0.006018,-0.691084,-5.499200,0.000000,0.092800
53,False,False,False,False,0.000000,1.000000,1.210000,4.070000,167.199997,2.960000,12.990000,238.619995,0.738650,-0.005770,-0.006153,-0.674037,-5.499200,0.000000,0.092800
