frame,input.bActivateBoost,input.bHoldingBoost,input.Steer,input.Throttle,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
34,True,True,-1.000000,1.000000,87.529999,-25.889999,18.330000,563.849976,-250.220001,8.160000,0.001486,0.008338,-0.181533,0.983348,0.000500,0.000000,-2.161000
35,True,True,-1.000000,1.000000,92.290001,-28.000000,18.330000,574.209961,-264.690002,8.160000,0.001562,0.008327,-0.190380,0.981674,0.000500,0.000000,-2.186500
36,True,True,-1.000000,1.000000,97.139999,-30.230000,18.330000,584.019958,-279.619995,8.160000,0.001637,0.008311,-0.199314,0.979899,0.000500,0.000000,-2.210700
37,True,True,-1.000000,1.000000,102.070000,-32.590000,18.330000,593.279968,-294.989990,8.160000,0.001718,0.008295,-0.208334,0.978021,0.000500,0.000000,-2.233500
38,True,True,-1.000000,1.000000,107.079994,-35.079998,18.330000,601.969971,-310.789978,8.160000,0.001799,0.008278,-0.217425,0.976040,0.000500,0.000000,-2.255000
39,True,True,-1.000000,1.000000,112.159996,-37.700001,18.330000,610.070007,-327.000000,8.170000,0.001880,0.008262,-0.226585,0.973954,0.000500,0.000000,-2.275100
40,True,True,-1.000000,1.000000,117.309998,-40.459999,18.330000,617.579956,-343.609985,8.170000,0.001961,0.008246,-0.235805,0.971763,0.000500,0.000000,-2.293800
41,True,True,-1.000000,1.000000,122.519997,-43.349998,18.330000,624.479980,-360.609985,8.170000,0.002042,0.008230,-0.245084,0.969465,0.000400,0.000000,-2.311200
42,True,True,-1.000000,1.000000,127.779999,-46.389999,18.330000,630.769958,-377.970001,8.170000,0.002123,0.008208,-0.254406,0.967060,0.000400,0.000000,-2.327300
43,True,True,-1.000000,1.000000,133.099991,-49.570000,18.330000,636.429993,-395.679993,8.170000,0.002204,0.008187,-0.263771,0.964548,0.000400,0.000000,-2.342000
44,True,True,-1.000000,1.000000,138.459991,-52.899998,18.330000,641.450012,-413.709991,8.170000,0.002285,0.008165,-0.273169,0.961929,0.000400,0.000000,-2.355400
45,True,True,-1.000000,1.000000,143.860001,-56.379997,18.330000,645.829956,-432.049988,8.170000,0.002366,0.008143,-0.282594,0.959202,0.000400,0.000000,-2.367500
46,True,True,-1.000000,1.000000,149.300003,-60.020000,18.330000,649.559998,-450.679993,8.170000,0.002447,0.008122,-0.292040,0.956368,0.000400,0.000000,-2.378400
47,True,True,-1.000000,1.000000,154.769989,-63.809998,18.330000,652.630005,-469.579987,8.170000,0.002527,0.008100,-0.301503,0.953427,0.000400,-0.000100,-2.388000
48,True,True,-1.000000,1.000000,160.259995,-67.760002,18.330000,655.039978,-488.720001,8.170000,0.002608,0.008073,-0.310976,0.950380,0.000400,-0.000200,-2.396400
