frame,input.bJump,input.bJumped,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
37,False,False,0.890000,0.000000,130.099991,2.960000,0.000000,326.229980,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
38,False,False,0.910000,0.000000,132.770004,2.960000,0.000000,320.809998,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
39,False,False,0.930000,0.000000,135.399994,2.960000,0.000000,315.389984,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
40,False,False,0.950000,0.000000,137.979996,2.960000,0.000000,309.970001,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
41,False,False,0.970000,0.000000,140.520004,2.960000,0.000000,304.549988,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
42,False,False,0.990000,0.000000,143.009995,2.960000,0.000000,299.130005,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
43,False,False,1.010000,0.000000,145.459991,2.960000,0.000000,293.709991,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
44,False,False,1.030000,0.000000,147.860001,2.960000,0.000000,288.290009,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
45,False,False,1.050000,0.000000,150.220001,2.960000,0.000000,282.869995,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
46,False,False,1.070000,0.000000,152.529999,2.960000,0.000000,277.449982,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
47,False,False,1.090000,0.000000,154.800003,2.960000,0.000000,272.029999,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
48,False,False,1.110000,0.000000,157.019989,2.960000,0.000000,266.609985,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
49,False,False,1.130000,0.000000,159.199997,2.960000,0.000000,261.190002,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
50,False,False,1.150000,0.000000,161.330002,2.960000,0.000000,255.769989,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
51,False,False,1.170000,0.000000,163.419998,2.960000,0.000000,250.349991,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
52,False,False,1.190000,0.000000,165.459991,2.960000,0.000000,244.929993,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
53,False,False,1.210000,0.000000,167.459991,2.960000,0.000000,239.509995,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
54,False,False,1.230000,0.000000,169.410004,2.960000,0.000000,234.089996,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
55,False,False,1.250000,0.000000,171.319992,2.960000,0.000000,228.669998,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
56,False,False,1.270000,0.000000,173.179993,2.960000,0.000000,223.250000,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
57,False,False,1.290000,0.000000,175.000000,2.960000,0.000000,217.830002,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
58,False,False,1.310000,0.000000,176.769989,2.960000,0.000000,212.409988,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
59,False,False,1.330000,0.000000,178.489990,2.960000,0.000000,206.989990,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
60,False,False,1.350000,0.000000,180.169998,2.960000,0.000000,201.569992,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
61,False,False,1.370000,0.000000,181.800003,2.960000,0.000000,196.149994,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
62,False,False,1.390000,0.000000,183.389999,2.960000,0.000000,190.729996,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
63,False,False,1.410000,0.000000,184.929993,2.960000,0.000000,185.309998,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
64,False,False,1.430000,0.000000,186.429993,2.960000,0.000000,179.889999,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
65,False,False,1.450000,0.000000,187.879990,2.960000,0.000000,174.470001,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
66,False,False,1.470000,0.000000,189.289993,2.960000,0.000000,169.050003,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
67,False,False,1.490000,0.000000,190.649994,2.960000,0.000000,163.629990,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
68,False,False,1.510000,0.000000,191.970001,2.960000,0.000000,158.209991,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
69,False,False,1.530000,0.000000,193.239990,2.960000,0.000000,152.789993,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
70,False,False,1.550000,0.000000,194.470001,2.960000,0.000000,147.369995,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
71,True,True,1.620000,0.000000,198.080002,7.940000,0.000000,433.569977,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
72,True,True,1.690000,0.000000,201.649994,7.930000,0.000000,428.149994,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
73,True,True,1.760000,0.000000,205.169998,7.920000,0.000000,422.729980,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
74,True,True,1.830000,0.000000,208.649994,7.910000,0.000000,417.309998,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
75,True,True,1.900000,0.000000,212.080002,7.910000,0.000000,411.889984,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
76,True,True,1.970000,0.000000,215.470001,7.910000,0.000000,406.470001,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
77,True,True,2.040000,0.000000,218.809998,7.910000,0.000000,401.049988,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
78,True,True,2.110000,0.000000,222.110001,7.910000,0.000000,395.630005,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
79,True,True,2.180000,0.000000,225.360001,7.910000,0.000000,390.209991,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
80,True,True,2.250000,0.000000,228.569992,7.910000,0.000000,384.789978,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
81,True,True,2.320000,0.000000,231.729996,7.910000,0.000000,379.369995,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
82,True,True,2.390000,0.000000,234.849991,7.910000,0.000000,373.949982,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
83,True,True,2.460000,0.000000,237.919998,7.910000,0.000000,368.529999,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
84,True,True,2.530000,0.000000,240.949997,7.910000,0.000000,363.109985,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
85,True,True,2.600000,0.000000,243.929993,7.910000,0.000000,357.690002,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
86,True,True,2.670000,0.000000,246.869995,7.910000,0.000000,352.269989,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
87,True,True,2.740000,0.000000,249.759995,7.910000,0.000000,346.850006,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
88,True,True,2.810000,0.000000,252.610001,7.910000,0.000000,341.429993,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
89,True,True,2.880000,0.000000,255.409988,7.910000,0.000000,336.009979,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
