frame,input.bHandbrake,input.bActivateBoost,input.bHoldingBoost,input.Steer,input.Throttle,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
0,False,False,False,0.000000,0.000000,-2000.000000,-4499.659668,18.330000,0.000000,-0.010000,8.400000,-0.006050,0.006056,0.707074,0.707087,0.000600,0.000000,0.000000
1,False,True,True,0.000000,1.000000,-2000.000000,-4499.589844,18.330000,0.000000,21.510000,8.309999,-0.006050,0.006056,0.707074,0.707087,0.001700,0.000000,0.000000
2,False,True,True,0.000000,1.000000,-2000.000000,-4499.339844,18.330000,0.000000,42.849998,8.250000,-0.006045,0.006050,0.707074,0.707087,0.002300,0.000000,0.000000
3,False,True,True,0.000000,1.000000,-2000.000000,-4498.909668,18.330000,0.000000,64.000000,8.210000,-0.006039,0.006045,0.707074,0.707087,0.002700,0.000000,0.000000
4,False,True,True,0.000000,1.000000,-2000.000000,-4498.310059,18.330000,0.000000,84.970001,8.179999,-0.006034,0.006039,0.707074,0.707088,0.002900,0.000000,0.000000
5,False,True,True,0.000000,1.000000,-2000.000000,-4497.529785,18.330000,0.000000,105.759995,8.160000,-0.006023,0.006029,0.707074,0.707088,0.003000,0.000000,0.000000
6,False,True,True,0.000000,1.000000,-2000.000000,-4496.580078,18.330000,0.000000,126.369995,8.139999,-0.006013,0.006018,0.707074,0.707088,0.003000,0.000000,0.000000
7,False,True,True,0.000000,1.000000,-2000.000000,-4495.459961,18.330000,0.000000,146.809998,8.130000,-0.006002,0.006007,0.707074,0.707088,0.002800,0.000000,0.000000
8,False,True,True,0.000000,1.000000,-2000.000000,-4494.169922,18.330000,0.000000,167.069992,8.120000,-0.005991,0.005996,0.707074,0.707088,0.002600,0.000000,0.000000
9,False,True,True,0.000000,1.000000,-2000.000000,-4492.709961,18.330000,0.000000,187.159988,8.110000,-0.005986,0.005991,0.707074,0.707088,0.002300,0.000000,0.000000
10,False,True,True,0.000000,1.000000,-2000.000000,-4491.080078,18.330000,0.000000,207.080002,8.110000,-0.005980,0.005986,0.707074,0.707088,0.002000,0.000000,0.000000
11,False,True,True,0.000000,1.000000,-2000.000000,-4489.290039,18.330000,0.000000,226.830002,8.110000,-0.005975,0.005980,0.707074,0.707089,0.001700,0.000000,0.000000
12,False,True,True,0.000000,1.000000,-2000.000000,-4487.330078,18.330000,0.000000,246.409988,8.110000,-0.005969,0.005975,0.707074,0.707089,0.001400,0.000000,0.000000
13,False,True,True,0.000000,1.000000,-2000.000000,-4485.209961,18.330000,0.000000,265.820007,8.110000,-0.005964,0.005969,0.707074,0.707089,0.001000,0.000000,0.000000
14,False,True,True,0.000000,1.000000,-2000.000000,-4482.929688,18.330000,0.000000,285.059998,8.110000,-0.005959,0.005964,0.707074,0.707089,0.000700,0.000000,0.000000
15,False,True,True,0.000000,1.000000,-2000.000000,-4480.489746,18.330000,0.000000,304.139984,8.110000,-0.005959,0.005964,0.707074,0.707089,0.000400,0.000000,0.000000
16,False,True,True,0.000000,1.000000,-2000.000000,-4477.890137,18.330000,0.000000,323.049988,8.110000,-0.005959,0.005964,0.707074,0.707089,0.000100,0.000000,0.000000
17,False,True,True,0.000000,1.000000,-2000.000000,-4475.129883,18.330000,0.000000,341.799988,8.110000,-0.005959,0.005964,0.707074,0.707089,0.000000,0.000000,0.000000
18,False,True,True,0.000000,1.000000,-2000.000000,-4472.209961,18.330000,0.000000,360.389984,8.110000,-0.005959,0.005964,0.707074,0.707089,-0.000100,0.000000,0.000000
19,False,True,True,0.000000,1.000000,-2000.000000,-4469.140137,18.330000,0.000000,378.819977,8.110000,-0.005959,0.005964,0.707074,0.707089,-0.000200,0.000000,0.000000
20,False,True,True,0.000000,1.000000,-2000.000000,-4465.909668,18.330000,0.000000,397.089996,8.110000,-0.005959,0.005964,0.707074,0.707089,-0.000200,0.000000,0.000000
21,False,True,True,0.000000,1.000000,-2000.000000,-4462.529785,18.330000,0.000000,415.209991,8.110000,-0.005959,0.005964,0.707074,0.707089,-0.000300,0.000000,0.000000
22,False,True,True,0.000000,1.000000,-2000.000000,-4459.000000,18.330000,0.000000,433.169983,8.110000,-0.005959,0.005964,0.707074,0.707089,-0.000300,0.000000,0.000000
23,False,True,True,0.000000,1.000000,-2000.000000,-4455.319824,18.330000,0.000000,450.979980,8.110000,-0.005959,0.005964,0.707074,0.707089,-0.000400,0.000000,0.000000
24,False,True,True,0.000000,1.000000,-2000.000000,-4451.489746,18.330000,0.000000,468.639984,8.110000,-0.005959,0.005964,0.707074,0.707089,-0.000400,0.000000,0.000000
25,False,True,True,0.000000,1.000000,-2000.000000,-4447.520020,18.330000,0.000000,486.139984,8.110000,-0.005959,0.005964,0.707074,0.707089,-0.000400,0.000000,0.000000
26,False,True,True,0.000000,1.000000,-2000.000000,-4443.399902,18.330000,0.000000,503.489990,8.110000,-0.005959,0.005964,0.707074,0.707089,-0.000500,0.000000,0.000000
27,False,True,True,0.000000,1.000000,-2000.000000,-4439.140137,18.330000,0.000000,520.700012,8.110000,-0.005959,0.005964,0.707074,0.707089,-0.000500,0.000000,0.000000
28,False,True,True,0.000000,1.000000,-2000.000000,-4434.729980,18.330000,0.000000,537.760010,8.110000,-0.005959,0.005964,0.707074,0.707089,-0.000600,0.000000,0.000000
29,False,True,True,0.000000,1.000000,-2000.000000,-4430.179688,18.330000,0.000000,554.669983,8.110000,-0.005959,0.005964,0.707074,0.707089,-0.000600,0.000000,0.000000
30,False,True,True,0.000000,1.000000,-2000.000000,-4425.489746,18.330000,0.000000,571.440002,8.110000,-0.005959,0.005964,0.707074,0.707089,-0.000700,0.000000,0.000000
31,False,True,True,0.000000,1.000000,-2000.000000,-4420.659668,18.330000,0.000000,588.059998,8.110000,-0.005959,0.005964,0.707074,0.707089,-0.000700,0.000000,0.000000
