frame,ball.Location.X,ball.Location.Y,ball.Location.Z,ball.LinearVelocity.X,ball.LinearVelocity.Y,ball.LinearVelocity.Z,ball.Quaternion.X,ball.Quaternion.Y,ball.Quaternion.Z,ball.Quaternion.W,ball.AngularVelocity.X,ball.AngularVelocity.Y,ball.AngularVelocity.Z
42,0.000000,-2315.770020,93.479996,0.000000,1890.849976,24.330000,-0.163239,0.000003,0.000003,0.986586,-2.411900,0.000000,0.000000
43,0.000000,-2300.020020,93.639999,0.000000,1890.369995,18.900000,-0.173144,0.000003,0.000003,0.984896,-2.411900,0.000000,0.000000
44,0.000000,-2284.270020,93.750000,0.000000,1889.890015,13.469999,-0.183033,0.000003,0.000003,0.983107,-2.411900,0.000000,0.000000
45,0.000000,-2268.520020,93.820000,0.000000,1889.409912,8.040000,-0.192905,0.000003,0.000003,0.981217,-2.411900,0.000000,0.000000
46,0.000000,-2252.780029,93.839996,0.000000,1888.929932,2.620000,-0.202756,0.000003,0.000003,0.979229,-2.411900,0.000000,0.000000
47,0.000000,-2237.040039,93.820000,0.000000,1888.449951,-2.790000,-0.212585,0.000003,0.000003,0.977142,-2.411900,0.000000,0.000000
48,0.000000,-2221.310059,93.750000,0.000000,1887.969971,-8.200000,-0.222393,0.000003,0.000003,0.974957,-2.411900,0.000000,0.000000
49,0.000000,-2205.579834,93.639999,0.000000,1887.489990,-13.610000,-0.232179,0.000003,0.000003,0.972673,-2.411900,0.000000,0.000000
50,0.000000,-2189.849854,93.479996,0.000000,1887.010010,-19.020000,-0.241944,0.000003,0.000003,0.970290,-2.411900,0.000000,0.000000
51,0.000000,-2174.129883,93.279999,0.000000,1886.529907,-24.430000,-0.251682,0.000003,0.000003,0.967810,-2.411900,0.000000,0.000000
52,0.000000,-2158.409912,93.029999,0.000000,1886.049927,-29.840000,-0.261392,0.000003,0.000003,0.965233,-2.411900,0.000000,0.000000
53,0.000000,-2142.849854,93.180000,0.000000,1866.959961,17.889999,-0.273121,0.000003,0.000003,0.961980,-2.921500,0.000000,0.000000
54,0.000000,-2127.300049,93.279999,0.000000,1866.479980,12.460000,-0.284811,0.000003,0.000003,0.958584,-2.921500,0.000000,0.000000
55,0.000000,-2111.750000,93.339996,0.000000,1866.000000,7.040000,-0.296459,0.000003,0.000003,0.955046,-2.921500,0.000000,0.000000
