frame,ball.Location.X,ball.Location.Y,ball.Location.Z,ball.LinearVelocity.X,ball.LinearVelocity.Y,ball.LinearVelocity.Z,ball.Quaternion.X,ball.Quaternion.Y,ball.Quaternion.Z,ball.Quaternion.W,ball.AngularVelocity.X,ball.AngularVelocity.Y,ball.AngularVelocity.Z
38,0.000000,0.000000,1866.659912,0.000000,0.000000,-204.679993,0.000003,0.813427,0.000003,0.581666,0.000000,6.000000,0.000000
39,0.000000,0.000000,1864.909912,0.000000,0.000000,-210.039993,0.000003,0.827714,0.000003,0.561150,0.000000,6.000000,0.000000
40,0.000000,0.000000,1863.119995,0.000000,0.000000,-215.399994,0.000003,0.841483,0.000003,0.540283,0.000000,6.000000,0.000000
41,0.000000,0.000000,1861.279907,0.000000,0.000000,-220.759995,0.000003,0.854725,0.000003,0.519081,0.000000,6.000000,0.000000
42,0.000000,0.000000,1859.399902,0.000000,0.000000,-226.119995,0.000003,0.867435,0.000003,0.497550,0.000000,6.000000,0.000000
43,0.000000,0.000000,1857.469971,0.000000,0.000000,-231.470001,0.000003,0.879601,0.000003,0.475712,0.000000,6.000000,0.000000
44,0.000000,0.000000,1855.500000,0.000000,0.000000,-236.819992,0.000003,0.891217,0.000003,0.453577,0.000000,6.000000,0.000000
45,0.000000,0.000000,1853.479980,0.000000,0.000000,-242.169998,0.000003,0.902277,0.000003,0.431156,0.000000,6.000000,0.000000
46,0.000000,0.000000,1851.419922,0.000000,0.000000,-247.519989,0.000003,0.912774,0.000003,0.408466,0.000000,6.000000,0.000000
47,0.000000,0.000000,1849.309937,0.000000,0.000000,-252.869995,0.000003,0.922699,0.000003,0.385522,0.000000,6.000000,0.000000
48,0.000000,0.000000,1847.159912,0.000000,0.000000,-258.220001,0.000003,0.932048,0.000003,0.362335,0.000000,6.000000,0.000000
49,0.000000,0.000000,1844.959961,0.000000,0.000000,-263.570007,0.000003,0.940815,0.000003,0.338921,0.000000,6.000000,0.000000
50,0.000000,0.000000,1842.719971,0.000000,0.000000,-268.910004,0.000003,0.948993,0.000003,0.315297,0.000000,6.000000,0.000000
51,0.000000,0.000000,1840.429932,0.000000,0.000000,-274.250000,0.000003,0.956579,0.000003,0.291474,0.000000,6.000000,0.000000
52,0.000000,0.000000,1838.099976,0.000000,0.000000,-279.589996,0.000003,0.963566,0.000003,0.267472,0.000000,6.000000,0.000000
