frame,ball.Location.X,ball.Location.Y,ball.Location.Z,ball.LinearVelocity.X,ball.LinearVelocity.Y,ball.LinearVelocity.Z,ball.Quaternion.X,ball.Quaternion.Y,ball.Quaternion.Z,ball.Quaternion.W,ball.AngularVelocity.X,ball.AngularVelocity.Y,ball.AngularVelocity.Z
42,-858.269958,0.000000,93.479996,-2385.579834,0.000000,24.330000,0.000003,-0.163239,0.000003,0.986586,0.000000,-2.411900,0.000000
43,-878.139954,0.000000,93.639999,-2384.969971,0.000000,18.900000,0.000003,-0.173144,0.000003,0.984896,0.000000,-2.411900,0.000000
44,-898.010010,0.000000,93.750000,-2384.359863,0.000000,13.469999,0.000003,-0.183033,0.000003,0.983107,0.000000,-2.411900,0.000000
45,-917.869995,0.000000,93.820000,-2383.750000,0.000000,8.040000,0.000003,-0.192905,0.000003,0.981217,0.000000,-2.411900,0.000000
46,-937.729980,0.000000,93.839996,-2383.139893,0.000000,2.620000,0.000003,-0.202756,0.000003,0.979229,0.000000,-2.411900,0.000000
47,-957.579956,0.000000,93.820000,-2382.530029,0.000000,-2.790000,0.000003,-0.212585,0.000003,0.977142,0.000000,-2.411900,0.000000
48,-977.429993,0.000000,93.750000,-2381.919922,0.000000,-8.200000,0.000003,-0.222393,0.000003,0.974957,0.000000,-2.411900,0.000000
49,-997.269958,0.000000,93.639999,-2381.310059,0.000000,-13.610000,0.000003,-0.232179,0.000003,0.972673,0.000000,-2.411900,0.000000
50,-1017.109985,0.000000,93.479996,-2380.699951,0.000000,-19.020000,0.000003,-0.241944,0.000003,0.970290,0.000000,-2.411900,0.000000
51,-1036.939941,0.000000,93.279999,-2380.089844,0.000000,-24.430000,0.000003,-0.251682,0.000003,0.967810,0.000000,-2.411900,0.000000
52,-1056.770020,0.000000,93.029999,-2379.479980,0.000000,-29.840000,0.000003,-0.261392,0.000003,0.965233,0.000000,-2.411900,0.000000
53,-1076.439941,0.000000,93.180000,-2360.270020,0.000000,17.889999,0.000003,-0.273121,0.000003,0.961980,0.000000,-2.921500,0.000000
54,-1096.099976,0.000000,93.279999,-2359.669922,0.000000,12.460000,0.000003,-0.284811,0.000003,0.958584,0.000000,-2.921500,0.000000
55,-1115.760010,0.000000,93.339996,-2359.070068,0.000000,7.040000,0.000003,-0.296459,0.000003,0.955046,0.000000,-2.921500,0.000000
56,-1135.410034,0.000000,93.349998,-2358.469971,0.000000,1.620000,0.000003,-0.308063,0.000003,0.951366,0.000000,-2.921500,0.000000
57,-1155.059937,0.000000,93.320000,-2357.869873,0.000000,-3.790000,0.000003,-0.319619,0.000003,0.947546,0.000000,-2.921500,0.000000
58,-1174.699951,0.000000,93.239998,-2357.270020,0.000000,-9.200000,0.000003,-0.331131,0.000003,0.943585,0.000000,-2.921500,0.000000
59,-1194.339966,0.000000,93.119995,-2356.669922,0.000000,-14.610000,0.000003,-0.342595,0.000003,0.939483,0.000000,-2.921500,0.000000
60,-1213.890015,0.000000,93.189995,-2345.989990,0.000000,8.760000,0.000003,-0.355079,0.000003,0.934836,0.000000,-3.197500,0.000000
