frame,ball.Location.X,ball.Location.Y,ball.Location.Z,ball.LinearVelocity.X,ball.LinearVelocity.Y,ball.LinearVelocity.Z,ball.Quaternion.X,ball.Quaternion.Y,ball.Quaternion.Z,ball.Quaternion.W,ball.AngularVelocity.X,ball.AngularVelocity.Y,ball.AngularVelocity.Z
42,-1728.510010,0.000000,93.479996,-4859.120117,0.000000,24.330000,0.000003,-0.163239,0.000003,0.986586,0.000000,-2.411900,0.000000
43,-1768.989990,0.000000,93.639999,-4857.879883,0.000000,18.900000,0.000003,-0.173144,0.000003,0.984896,0.000000,-2.411900,0.000000
44,-1809.459961,0.000000,93.750000,-4856.639648,0.000000,13.469999,0.000003,-0.183033,0.000003,0.983107,0.000000,-2.411900,0.000000
45,-1849.919922,0.000000,93.820000,-4855.399902,0.000000,8.040000,0.000003,-0.192905,0.000003,0.981217,0.000000,-2.411900,0.000000
46,-1890.369995,0.000000,93.839996,-4854.159668,0.000000,2.620000,0.000003,-0.202756,0.000003,0.979229,0.000000,-2.411900,0.000000
47,-1930.809937,0.000000,93.820000,-4852.919922,0.000000,-2.790000,0.000003,-0.212585,0.000003,0.977142,0.000000,-2.411900,0.000000
48,-1971.239990,0.000000,93.750000,-4851.679688,0.000000,-8.200000,0.000003,-0.222393,0.000003,0.974957,0.000000,-2.411900,0.000000
49,-2011.659912,0.000000,93.639999,-4850.439941,0.000000,-13.610000,0.000003,-0.232179,0.000003,0.972673,0.000000,-2.411900,0.000000
50,-2052.070068,0.000000,93.479996,-4849.199707,0.000000,-19.020000,0.000003,-0.241944,0.000003,0.970290,0.000000,-2.411900,0.000000
51,-2092.469971,0.000000,93.279999,-4847.959961,0.000000,-24.430000,0.000003,-0.251682,0.000003,0.967810,0.000000,-2.411900,0.000000
52,-2132.859863,0.000000,93.029999,-4846.719727,0.000000,-29.840000,0.000003,-0.261392,0.000003,0.965233,0.000000,-2.411900,0.000000
53,-2173.079834,0.000000,93.180000,-4826.879883,0.000000,17.889999,0.000003,-0.273121,0.000003,0.961980,0.000000,-2.921500,0.000000
54,-2213.290039,0.000000,93.279999,-4825.649902,0.000000,12.460000,0.000003,-0.284811,0.000003,0.958584,0.000000,-2.921500,0.000000
55,-2253.489990,0.000000,93.339996,-4824.419922,0.000000,7.040000,0.000003,-0.296459,0.000003,0.955046,0.000000,-2.921500,0.000000
56,-2293.679932,0.000000,93.349998,-4823.189941,0.000000,1.620000,0.000003,-0.308063,0.000003,0.951366,0.000000,-2.921500,0.000000
57,-2333.859863,0.000000,93.320000,-4821.959961,0.000000,-3.790000,0.000003,-0.319619,0.000003,0.947546,0.000000,-2.921500,0.000000
58,-2374.030029,0.000000,93.239998,-4820.729980,0.000000,-9.200000,0.000003,-0.331131,0.000003,0.943585,0.000000,-2.921500,0.000000
59,-2414.189941,0.000000,93.119995,-4819.500000,0.000000,-14.610000,0.000003,-0.342595,0.000003,0.939483,0.000000,-2.921500,0.000000
60,-2454.260010,0.000000,93.189995,-4808.199707,0.000000,8.760000,0.000003,-0.355079,0.000003,0.934836,0.000000,-3.197500,0.000000
61,-2494.319824,0.000000,93.220001,-4806.969727,0.000000,3.340000,0.000003,-0.367503,0.000003,0.930022,0.000000,-3.197500,0.000000
62,-2534.369873,0.000000,93.199997,-4805.739746,0.000000,-2.070000,0.000003,-0.379863,0.000003,0.925043,0.000000,-3.197500,0.000000
63,-2574.409912,0.000000,93.139999,-4804.520020,0.000000,-7.480000,0.000003,-0.392152,0.000003,0.919900,0.000000,-3.197500,0.000000
64,-2614.389893,0.000000,93.180000,-4797.209961,0.000000,4.480000,0.000003,-0.405008,0.000003,0.914313,0.000000,-3.364100,0.000000
65,-2654.359863,0.000000,93.169998,-4795.989746,0.000000,-0.930000,0.000003,-0.417783,0.000003,0.908547,0.000000,-3.364100,0.000000
66,-2694.319824,0.000000,93.119995,-4794.770020,0.000000,-6.340000,0.000003,-0.430477,0.000003,0.902602,0.000000,-3.364100,0.000000
67,-2734.219971,0.000000,93.150002,-4788.100098,0.000000,3.800000,0.000003,-0.443645,0.000003,0.896202,0.000000,-3.513200,0.000000
