frame,input.bJump,input.bJumped,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
37,False,False,0.370000,0.000000,85.349998,0.000000,0.000000,119.680000,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
38,False,False,0.370000,0.000000,86.299995,0.000000,0.000000,114.259995,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
39,False,False,0.370000,0.000000,87.209999,0.000000,0.000000,108.839996,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
40,False,False,0.370000,0.000000,88.070000,0.000000,0.000000,103.419998,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
41,False,False,0.370000,0.000000,88.889999,0.000000,0.000000,98.000000,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
42,False,False,0.370000,0.000000,89.659996,0.000000,0.000000,92.579994,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
43,False,False,0.370000,0.000000,90.389999,0.000000,0.000000,87.159996,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
44,False,False,0.370000,0.000000,91.070000,0.000000,0.000000,81.739998,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
45,False,False,0.370000,0.000000,91.709999,0.000000,0.000000,76.320000,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
46,False,False,0.370000,0.000000,92.299995,0.000000,0.000000,70.900002,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
47,False,False,0.370000,0.000000,92.849998,0.000000,0.000000,65.479996,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
48,False,False,0.370000,0.000000,93.349998,0.000000,0.000000,60.059998,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
