frame,ball.Location.X,ball.Location.Y,ball.Location.Z,ball.LinearVelocity.X,ball.LinearVelocity.Y,ball.LinearVelocity.Z,ball.Quaternion.X,ball.Quaternion.Y,ball.Quaternion.Z,ball.Quaternion.W,ball.AngularVelocity.X,ball.AngularVelocity.Y,ball.AngularVelocity.Z
14,0.000000,0.000000,1895.239990,0.000000,0.000000,-75.639999,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
15,0.000000,0.000000,1894.559937,0.000000,0.000000,-81.029999,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
16,0.000000,0.000000,1893.839966,0.000000,0.000000,-86.419998,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
17,0.000000,0.000000,1893.069946,0.000000,0.000000,-91.809998,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
18,0.000000,0.000000,1892.260010,0.000000,0.000000,-97.199997,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
19,0.000000,0.000000,1891.409912,0.000000,0.000000,-102.589996,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
20,0.000000,0.000000,1890.510010,0.000000,0.000000,-107.979996,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
21,0.000000,0.000000,1889.569946,0.000000,0.000000,-113.360001,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
22,0.000000,0.000000,1888.579956,0.000000,0.000000,-118.739998,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
23,0.000000,0.000000,1887.549927,0.000000,0.000000,-124.119995,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
24,0.000000,0.000000,1886.469971,0.000000,0.000000,-129.500000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
25,0.000000,0.000000,1885.349976,0.000000,0.000000,-134.879990,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
26,0.000000,0.000000,1884.179932,0.000000,0.000000,-140.259995,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
27,0.000000,0.000000,1882.969971,0.000000,0.000000,-145.639999,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
28,0.000000,0.000000,1881.709961,0.000000,0.000000,-151.009995,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
29,0.000000,0.000000,1880.409912,0.000000,0.000000,-156.379990,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
30,0.000000,0.000000,1879.059937,0.000000,0.000000,-161.750000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
31,0.000000,0.000000,1877.669922,0.000000,0.000000,-167.119995,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
32,0.000000,0.000000,1876.229980,0.000000,0.000000,-172.489990,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
33,0.000000,0.000000,1874.750000,0.000000,0.000000,-177.860001,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
34,0.000000,0.000000,1873.219971,0.000000,0.000000,-183.229996,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
35,0.000000,0.000000,1871.649902,0.000000,0.000000,-188.599991,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
36,0.000000,0.000000,1870.029907,0.000000,0.000000,-193.959991,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
37,0.000000,0.000000,1868.369995,0.000000,0.000000,-199.319992,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
38,0.000000,0.000000,1866.659912,0.000000,0.000000,-204.679993,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
39,0.000000,0.000000,1864.909912,0.000000,0.000000,-210.039993,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
40,0.000000,0.000000,1863.119995,0.000000,0.000000,-215.399994,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
41,0.000000,0.000000,1861.279907,0.000000,0.000000,-220.759995,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
42,0.000000,0.000000,1859.399902,0.000000,0.000000,-226.119995,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
43,0.000000,0.000000,1857.469971,0.000000,0.000000,-231.470001,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
44,0.000000,0.000000,1855.500000,0.000000,0.000000,-236.819992,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
45,0.000000,0.000000,1853.479980,0.000000,0.000000,-242.169998,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
46,0.000000,0.000000,1851.419922,0.000000,0.000000,-247.519989,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
47,0.000000,0.000000,1849.309937,0.000000,0.000000,-252.869995,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
