frame,input.bJump,input.bJumped,input.Pitch,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z,ball.Location.X,ball.Location.Y,ball.Location.Z,ball.LinearVelocity.X,ball.LinearVelocity.Y,ball.LinearVelocity.Z,ball.Quaternion.X,ball.Quaternion.Y,ball.Quaternion.Z,ball.Quaternion.W,ball.AngularVelocity.X,ball.AngularVelocity.Y,ball.AngularVelocity.Z
31,True,True,-1.000000,0.000000,-86.639999,1002.039978,0.000000,420.919983,0.580000,-0.547005,0.547005,0.448096,0.448085,-5.499900,0.000000,0.000000,0.000000,156.360001,987.199951,0.000000,790.700012,-61.549999,0.227157,0.000003,0.000003,0.973858,2.291600,0.000000,0.000000
32,True,True,-1.000000,0.000000,-83.129997,1002.039978,0.000000,420.919983,0.580000,-0.560260,0.560266,0.431405,0.431394,-5.499900,0.000000,0.000000,0.000000,162.949997,986.690002,0.000000,790.489990,-61.529999,0.236447,0.000003,0.000003,0.971644,2.291600,0.000000,0.000000
33,True,True,-1.000000,0.000000,-79.619995,1002.039978,0.000000,420.919983,0.580000,-0.573008,0.573011,0.414325,0.414314,-5.499900,0.000000,0.000000,0.000000,169.539993,986.179993,0.000000,790.279968,-61.509998,0.245715,0.000003,0.000003,0.969342,2.291600,0.000000,0.000000
34,True,True,-1.000000,0.000000,-76.110001,1002.039978,0.000000,420.919983,0.580000,-0.585232,0.585239,0.396867,0.396856,-5.499900,0.000000,0.000000,0.000000,176.119995,985.669983,0.000000,790.070007,-61.489998,0.254962,0.000003,0.000003,0.966951,2.291600,0.000000,0.000000
35,True,True,-1.000000,0.000000,-72.599998,1002.039978,0.000000,420.919983,0.580000,-0.596928,0.596934,0.379048,0.379037,-5.499900,0.000000,0.000000,0.000000,182.699997,985.159973,0.000000,789.859985,-61.469997,0.264181,0.000003,0.000003,0.964473,2.291600,0.000000,0.000000
36,True,True,-1.000000,0.000000,-69.089996,1002.039978,0.000000,420.919983,0.580000,-0.608079,0.608090,0.360884,0.360873,-5.499900,0.000000,0.000000,0.000000,189.279999,984.649963,0.000000,789.649963,-61.449997,0.273380,0.000003,0.000003,0.961906,2.291600,0.000000,0.000000
37,True,True,-1.000000,0.000000,-65.580002,1002.039978,0.000000,420.919983,0.580000,-0.618680,0.618692,0.342390,0.342379,-5.499900,0.000000,0.000000,0.000000,195.860001,984.139954,0.000000,789.440002,-61.430000,0.282551,0.000003,0.000003,0.959252,2.291600,0.000000,0.000000
38,True,True,-1.000000,0.000000,-62.070000,1002.039978,0.000000,420.919983,0.580000,-0.628720,0.628727,0.323589,0.323578,-5.499900,0.000000,0.000000,0.000000,202.440002,983.630005,0.000000,789.229980,-61.410000,0.291695,0.000003,0.000003,0.956511,2.291600,0.000000,0.000000
39,True,True,-1.000000,0.000000,-58.559998,1002.039978,0.000000,420.919983,0.580000,-0.638188,0.638195,0.304492,0.304481,-5.499900,0.000000,0.000000,0.000000,209.019989,983.119995,0.000000,789.019958,-61.389999,0.300812,0.000003,0.000003,0.953683,2.291600,0.000000,0.000000
40,True,True,-1.000000,0.000000,-55.049999,1002.039978,0.000000,420.919983,0.580000,-0.647073,0.647083,0.285119,0.285108,-5.500000,0.000000,0.000000,0.000000,215.589996,982.609985,0.000000,788.809998,-61.369999,0.309903,0.000003,0.000003,0.950768,2.291600,0.000000,0.000000
41,True,True,-1.000000,0.000000,-51.539997,1002.039978,0.000000,420.919983,0.580000,-0.655370,0.655384,0.265487,0.265476,-5.499900,0.000000,0.000000,0.000000,222.159988,982.099976,0.000000,788.599976,-61.349998,0.318966,0.000003,0.000003,0.947766,2.291600,0.000000,0.000000
42,True,True,-1.000000,0.000000,-48.029999,1002.039978,0.000000,420.919983,0.580000,-0.663074,0.663089,0.245613,0.245602,-5.499900,0.000000,0.000000,0.000000,228.729996,981.589966,0.000000,788.389954,-61.329998,0.328002,0.000003,0.000003,0.944677,2.291600,0.000000,0.000000
43,True,True,-1.000000,0.000000,-44.520000,1002.039978,0.000000,420.919983,0.580000,-0.670174,0.670191,0.225517,0.225506,-5.499900,0.000000,0.000000,0.000000,235.299988,981.079956,0.000000,788.179993,-61.309998,0.337006,0.000003,0.000003,0.941502,2.291600,0.000000,0.000000
44,True,True,-1.000000,0.000000,-41.009998,1002.039978,0.000000,420.919983,0.580000,-0.676664,0.676685,0.205216,0.205205,-5.499900,0.000000,0.000000,0.000000,241.869995,980.570007,0.000000,787.969971,-61.289997,0.345978,0.000003,0.000003,0.938243,2.291600,0.000000,0.000000
45,True,True,-1.000000,0.000000,-37.500000,1002.039978,0.000000,420.919983,0.580000,-0.682539,0.682566,0.184727,0.184716,-5.499900,0.000000,0.000000,0.000000,248.429993,980.059998,0.000000,787.760010,-61.270000,0.354922,0.000003,0.000003,0.934896,2.291600,0.000000,0.000000
46,True,True,-1.000000,0.000000,-33.989998,1002.039978,0.000000,420.919983,0.580000,-0.687799,0.687822,0.164070,0.164059,-5.499900,0.000000,0.000000,0.000000,254.989990,979.549988,0.000000,787.559998,-61.250000,0.363835,0.000003,0.000003,0.931464,2.291600,0.000000,0.000000
47,True,True,-1.000000,0.000000,-30.480000,1002.039978,0.000000,420.919983,0.580000,-0.692433,0.692452,0.143262,0.143257,-5.499900,0.000000,0.000000,0.000000,261.549988,979.039978,0.000000,787.359985,-61.230000,0.372709,0.000003,0.000003,0.927948,2.291600,0.000000,0.000000
48,True,True,-1.000000,0.000000,-26.969999,1002.039978,0.000000,420.919983,0.580000,-0.696436,0.696457,0.122325,0.122319,-5.499900,0.000000,0.000000,0.000000,268.109985,978.529968,0.000000,787.159973,-61.209999,0.381551,0.000003,0.000003,0.924348,2.291600,0.000000,0.000000
49,True,True,-1.000000,0.000000,-23.459999,1002.039978,0.000000,420.919983,0.580000,-0.699808,0.699825,0.101280,0.101274,-5.499900,0.000000,0.000000,0.000000,274.669983,978.019958,0.000000,786.959961,-61.189999,0.390361,0.000003,0.000003,0.920662,2.291600,0.000000,0.000000
50,True,True,-1.000000,0.000000,-19.949999,1002.039978,0.000000,420.919983,0.580000,-0.702543,0.702559,0.080143,0.080137,-5.499900,0.000000,0.000000,0.000000,281.229980,977.509949,0.000000,786.760010,-61.169998,0.399133,0.000003,0.000003,0.916893,2.291600,0.000000,0.000000
51,True,True,-1.000000,0.000000,-16.440001,1002.039978,0.000000,420.919983,0.580000,-0.704641,0.704653,0.058930,0.058925,-5.499900,0.000000,0.000000,0.000000,287.779999,977.000000,0.000000,786.559998,-61.149998,0.407867,0.000003,0.000003,0.913041,2.291600,0.000000,0.000000
52,True,True,-1.000000,0.000000,-12.929999,1002.039978,0.000000,420.919983,0.580000,-0.706098,0.706108,0.037664,0.037659,-5.499900,0.000000,0.000000,0.000000,294.329987,976.489990,0.000000,786.359985,-61.129997,0.416569,0.000003,0.000003,0.909104,2.291600,0.000000,0.000000
53,True,True,-1.000000,0.000000,-9.420000,1002.039978,0.000000,420.919983,0.580000,-0.706913,0.706922,0.016365,0.016360,-5.500000,0.000000,0.000000,0.000000,300.880005,975.979980,0.000000,786.159973,-61.109997,0.425228,0.000003,0.000003,0.905086,2.291600,0.000000,0.000000
54,True,True,-1.000000,0.000000,-5.910000,1002.039978,0.000000,420.919983,0.580000,-0.707085,0.707094,-0.004950,-0.004955,-5.499900,0.000000,0.000000,0.000000,307.429993,975.469971,0.000000,785.959961,-61.090000,0.433848,0.000003,0.000003,0.900986,2.291600,0.000000,0.000000
55,True,True,-1.000000,0.000000,-2.400000,1002.039978,0.000000,420.919983,0.580000,-0.706616,0.706622,-0.026259,-0.026265,-5.499900,0.000000,0.000000,0.000000,313.979980,974.959961,0.000000,785.760010,-61.070000,0.442432,0.000003,0.000003,0.896802,2.291600,0.000000,0.000000
